TEAM_NAME,PTS,AST,REB,FG_PCT,FG3_PCT,WIN_RATE,OFFENSIVE_EFFICIENCY,DEFENSIVE_RATING,PLAYOFF_EFFICIENCY
Atlanta Hawks,97.913,20.652,41.707,0.433,0.328,0.435,1.18,0.93,106.457
Boston Celtics,102.768,22.672,42.119,0.449,0.347,0.554,1.247,0.957,115.994
Brooklyn Nets,102.889,21.056,40.407,0.452,0.353,0.333,1.249,0.916,111.778
Charlotte Bobcats,92.0,19.75,39.75,0.45,0.37,0.0,1.236,0.586,97.0
Charlotte Hornets,90.286,13.571,36.857,0.397,0.294,0.429,1.134,1.055,87.714
Chicago Bulls,92.677,20.855,43.887,0.425,0.328,0.419,1.134,0.933,103.677
Cleveland Cavaliers,103.38,20.3,42.73,0.456,0.359,0.63,1.262,0.976,114.46
Dallas Mavericks,103.635,20.062,40.146,0.455,0.365,0.5,1.271,0.957,112.083
Denver Nuggets,107.59,23.66,43.4,0.462,0.352,0.52,1.257,0.981,121.92
Detroit Pistons,96.5,22.375,40.0,0.433,0.343,0.0,1.138,0.986,102.875
Golden State Warriors,110.189,26.044,44.66,0.47,0.372,0.679,1.283,0.994,128.522
Houston Rockets,106.141,19.671,43.659,0.437,0.341,0.494,1.255,0.962,112.824
Indiana Pacers,97.245,20.551,41.592,0.453,0.357,0.429,1.228,0.865,107.49
LA Clippers,108.778,20.794,41.794,0.464,0.363,0.444,1.3,0.957,119.413
Los Angeles Clippers,102.068,20.977,40.227,0.464,0.343,0.432,1.261,1.131,112.114
Los Angeles Lakers,103.763,22.5,43.25,0.461,0.321,0.474,1.25,0.998,118.408
Memphis Grizzlies,99.023,20.419,42.721,0.429,0.322,0.442,1.17,1.104,107.5
Miami Heat,100.36,20.27,39.826,0.459,0.359,0.596,1.271,0.983,111.084
Milwaukee Bucks,106.116,22.768,46.326,0.455,0.337,0.516,1.222,1.013,120.411
Minnesota Timberwolves,106.97,23.364,42.212,0.461,0.371,0.424,1.293,0.955,121.061
New Orleans Hornets,89.333,20.167,33.5,0.456,0.31,0.333,1.241,1.101,94.667
New Orleans Pelicans,104.25,23.458,45.25,0.453,0.333,0.292,1.207,0.85,118.583
New York Knicks,97.5,18.173,42.827,0.423,0.338,0.442,1.174,0.922,103.423
Oklahoma City Thunder,102.899,19.168,44.185,0.449,0.339,0.521,1.251,1.083,115.092
Orlando Magic,93.9,18.533,42.467,0.404,0.31,0.267,1.147,0.855,97.5
Philadelphia 76ers,103.126,21.954,43.77,0.446,0.348,0.483,1.244,0.996,116.069
Phoenix Suns,109.039,23.725,40.373,0.487,0.367,0.529,1.303,0.969,125.039
Portland Trail Blazers,104.897,19.059,44.029,0.434,0.357,0.353,1.204,0.943,111.265
Sacramento Kings,113.714,22.0,47.714,0.429,0.31,0.429,1.19,0.868,120.571
San Antonio Spurs,102.853,21.679,42.339,0.469,0.378,0.587,1.259,1.072,117.064
Toronto Raptors,101.587,20.304,41.076,0.441,0.329,0.5,1.228,0.975,110.424
Utah Jazz,103.818,19.836,43.236,0.452,0.352,0.382,1.269,0.839,112.982
Washington Wizards,102.289,22.089,44.044,0.45,0.344,0.489,1.211,1.01,115.178
